HDR,ROLLING SYSTEM DEMAND
VD,20191001000000,22008
VD,20191001000500,22379
VD,20191001001000,22361
VD,20191001001500,22445
VD,20191001002000,22377
VD,20191001002500,22461
VD,20191001003000,22515
VD,20191001003500,22629
VD,20191001004000,22702
VD,20191001004500,22706
VD,20191001005000,22814
VD,20191001005500,22818
VD,20191001010000,22656
VD,20191001010500,22514
VD,20191001011000,22492
VD,20191001011500,22450
VD,20191001012000,22475
VD,20191001012500,22382
VD,20191001013000,22275
VD,20191001013500,22253
VD,20191001014000,22167
VD,20191001014500,22148
VD,20191001015000,22149
VD,20191001015500,22115
VD,20191001020000,22053
VD,20191001020500,21730
VD,20191001021000,21637
VD,20191001021500,21639
VD,20191001022000,21570
VD,20191001022500,21492
VD,20191001023000,21483
VD,20191001023500,21484
VD,20191001024000,21461
VD,20191001024500,21370
VD,20191001025000,21389
VD,20191001025500,21439
VD,20191001030000,21576
VD,20191001030500,22255
VD,20191001031000,22566
VD,20191001031500,22544
VD,20191001032000,22602
VD,20191001032500,22644
VD,20191001033000,22692
VD,20191001033500,22779
VD,20191001034000,22796
VD,20191001034500,22754
VD,20191001035000,22864
VD,20191001035500,22879
VD,20191001040000,22873
VD,20191001040500,22952
VD,20191001041000,23031
VD,20191001041500,23028
VD,20191001042000,23149
VD,20191001042500,23284
VD,20191001043000,23466
VD,20191001043500,23852
VD,20191001044000,24143
VD,20191001044500,24245
VD,20191001045000,24637
VD,20191001045500,25019
VD,20191001050000,25001
VD,20191001050500,24970
VD,20191001051000,25590
VD,20191001051500,25926
VD,20191001052000,26313
VD,20191001052500,26789
VD,20191001053000,27259
VD,20191001053500,27826
VD,20191001054000,28474
VD,20191001054500,29046
VD,20191001055000,29584
VD,20191001055500,30143
VD,20191001060000,30578
VD,20191001060500,31258
VD,20191001061000,32087
VD,20191001061500,32623
VD,20191001062000,32886
VD,20191001062500,33177
VD,20191001063000,33341
VD,20191001063500,33419
VD,20191001064000,33489
VD,20191001064500,33673
VD,20191001065000,33870
VD,20191001065500,33801
VD,20191001070000,33671
VD,20191001070500,33732
VD,20191001071000,34059
VD,20191001071500,34143
VD,20191001072000,34307
VD,20191001072500,34340
VD,20191001073000,34235
VD,20191001073500,34137
VD,20191001074000,34136
VD,20191001074500,34157
VD,20191001075000,34218
VD,20191001075500,34209
VD,20191001080000,34196
VD,20191001080500,34174
VD,20191001081000,34232
VD,20191001081500,34344
VD,20191001082000,34350
VD,20191001082500,34296
VD,20191001083000,34295
VD,20191001083500,34269
VD,20191001084000,34260
VD,20191001084500,34201
VD,20191001085000,34209
VD,20191001085500,34254
VD,20191001090000,34345
VD,20191001090500,34614
VD,20191001091000,34580
VD,20191001091500,34515
VD,20191001092000,34471
VD,20191001092500,34543
VD,20191001093000,34449
VD,20191001093500,34331
VD,20191001094000,34354
VD,20191001094500,34153
VD,20191001095000,34058
VD,20191001095500,33978
VD,20191001100000,33954
VD,20191001100500,33842
VD,20191001101000,33835
VD,20191001101500,33773
VD,20191001102000,33670
VD,20191001102500,33600
VD,20191001103000,33526
VD,20191001103500,33538
VD,20191001104000,33515
VD,20191001104500,33551
VD,20191001105000,33602
VD,20191001105500,33547
VD,20191001110000,33593
VD,20191001110500,33576
VD,20191001111000,33537
VD,20191001111500,33511
VD,20191001112000,33521
VD,20191001112500,33508
VD,20191001113000,33404
VD,20191001113500,33358
VD,20191001114000,33261
VD,20191001114500,33152
VD,20191001115000,33135
VD,20191001115500,33194
VD,20191001120000,33297
VD,20191001120500,33464
VD,20191001121000,33413
VD,20191001121500,33412
VD,20191001122000,33244
VD,20191001122500,33122
VD,20191001123000,33056
VD,20191001123500,33030
VD,20191001124000,33016
VD,20191001124500,33115
VD,20191001125000,33121
VD,20191001125500,33092
VD,20191001130000,32998
VD,20191001130500,33013
VD,20191001131000,32981
VD,20191001131500,32979
VD,20191001132000,33096
VD,20191001132500,33083
VD,20191001133000,32989
VD,20191001133500,32887
VD,20191001134000,32822
VD,20191001134500,32751
VD,20191001135000,32702
VD,20191001135500,32673
VD,20191001140000,32484
VD,20191001140500,32227
VD,20191001141000,32209
VD,20191001141500,32233
VD,20191001142000,32062
VD,20191001142500,32126
VD,20191001143000,32420
VD,20191001143500,32535
VD,20191001144000,32581
VD,20191001144500,32847
VD,20191001145000,33090
VD,20191001145500,33204
VD,20191001150000,33477
VD,20191001150500,33920
VD,20191001151000,34130
VD,20191001151500,34266
VD,20191001152000,34463
VD,20191001152500,34664
VD,20191001153000,34934
VD,20191001153500,35113
VD,20191001154000,35269
VD,20191001154500,35424
VD,20191001155000,35564
VD,20191001155500,35718
VD,20191001160000,35693
VD,20191001160500,35517
VD,20191001161000,35498
VD,20191001161500,35594
VD,20191001162000,35720
VD,20191001162500,35948
VD,20191001163000,35981
VD,20191001163500,36182
VD,20191001164000,36263
VD,20191001164500,36222
VD,20191001165000,36183
VD,20191001165500,36149
VD,20191001170000,36293
VD,20191001170500,36573
VD,20191001171000,36648
VD,20191001171500,36624
VD,20191001172000,36694
VD,20191001172500,36794
VD,20191001173000,36930
VD,20191001173500,37046
VD,20191001174000,37135
VD,20191001174500,37194
VD,20191001175000,37275
VD,20191001175500,37265
VD,20191001180000,37532
VD,20191001180500,37840
VD,20191001181000,37810
VD,20191001181500,37739
VD,20191001182000,37786
VD,20191001182500,37711
VD,20191001183000,37654
VD,20191001183500,37671
VD,20191001184000,37600
VD,20191001184500,37226
VD,20191001185000,37029
VD,20191001185500,36963
VD,20191001190000,36728
VD,20191001190500,36573
VD,20191001191000,36258
VD,20191001191500,35976
VD,20191001192000,35747
VD,20191001192500,35498
VD,20191001193000,35179
VD,20191001193500,35072
VD,20191001194000,34961
VD,20191001194500,34657
VD,20191001195000,34504
VD,20191001195500,34191
VD,20191001200000,33886
VD,20191001200500,33696
VD,20191001201000,33393
VD,20191001201500,33063
VD,20191001202000,32707
VD,20191001202500,32323
VD,20191001203000,32024
VD,20191001203500,31817
VD,20191001204000,31536
VD,20191001204500,31157
VD,20191001205000,30811
VD,20191001205500,30396
VD,20191001210000,30163
VD,20191001210500,30136
VD,20191001211000,29710
VD,20191001211500,29340
VD,20191001212000,29088
VD,20191001212500,28809
VD,20191001213000,28523
VD,20191001213500,28244
VD,20191001214000,27914
VD,20191001214500,27509
VD,20191001215000,27023
VD,20191001215500,26606
VD,20191001220000,26507
VD,20191001220500,26279
VD,20191001221000,25909
VD,20191001221500,25432
VD,20191001222000,25123
VD,20191001222500,24915
VD,20191001223000,24632
VD,20191001223500,24334
VD,20191001224000,24116
VD,20191001224500,23917
VD,20191001225000,23674
VD,20191001225500,23463
VD,20191001230000,23214
VD,20191001230500,23010
VD,20191001231000,22828
VD,20191001231500,22670
VD,20191001232000,22527
VD,20191001232500,22440
VD,20191001233000,22374
VD,20191001233500,22279
VD,20191001234000,22185
VD,20191001234500,22084
VD,20191001235000,22035
VD,20191001235500,22062
VD,20191002000000,22132
VD,20191002000500,22369
VD,20191002001000,22350
VD,20191002001500,22499
VD,20191002002000,22781
VD,20191002002500,22877
VD,20191002003000,22871
VD,20191002003500,23052
VD,20191002004000,22966
VD,20191002004500,22943
VD,20191002005000,22928
VD,20191002005500,22886
VD,20191002010000,22877
VD,20191002010500,22818
VD,20191002011000,22737
VD,20191002011500,22618
VD,20191002012000,22572
VD,20191002012500,22488
VD,20191002013000,22446
VD,20191002013500,22472
VD,20191002014000,22487
VD,20191002014500,22481
VD,20191002015000,22432
VD,20191002015500,22329
VD,20191002020000,22185
VD,20191002020500,22257
VD,20191002021000,22239
VD,20191002021500,22218
VD,20191002022000,22183
VD,20191002022500,22187
VD,20191002023000,22223
VD,20191002023500,22272
VD,20191002024000,22250
VD,20191002024500,22250
VD,20191002025000,22328
VD,20191002025500,22315
VD,20191002030000,22316
VD,20191002030500,22471
VD,20191002031000,22457
VD,20191002031500,22506
VD,20191002032000,22564
VD,20191002032500,22557
VD,20191002033000,22555
VD,20191002033500,22583
VD,20191002034000,22640
VD,20191002034500,22727
VD,20191002035000,22766
VD,20191002035500,22844
VD,20191002040000,22931
VD,20191002040500,23344
VD,20191002041000,23503
VD,20191002041500,23367
VD,20191002042000,23794
VD,20191002042500,23985
VD,20191002043000,24026
VD,20191002043500,24008
VD,20191002044000,24284
VD,20191002044500,24538
VD,20191002045000,24806
VD,20191002045500,25057
VD,20191002050000,24910
VD,20191002050500,24946
VD,20191002051000,25629
VD,20191002051500,26103
VD,20191002052000,26613
VD,20191002052500,27110
VD,20191002053000,27589
VD,20191002053500,28242
VD,20191002054000,28950
VD,20191002054500,29608
VD,20191002055000,30108
VD,20191002055500,30752
VD,20191002060000,31351
VD,20191002060500,32142
VD,20191002061000,33043
VD,20191002061500,33606
VD,20191002062000,34021
VD,20191002062500,34410
VD,20191002063000,34712
VD,20191002063500,34893
VD,20191002064000,35018
VD,20191002064500,35194
VD,20191002065000,35215
VD,20191002065500,35277
VD,20191002070000,35315
VD,20191002070500,35411
VD,20191002071000,35528
VD,20191002071500,35409
VD,20191002072000,35406
VD,20191002072500,35333
VD,20191002073000,35258
VD,20191002073500,35040
VD,20191002074000,34805
VD,20191002074500,34625
VD,20191002075000,34508
VD,20191002075500,34375
VD,20191002080000,34287
VD,20191002080500,34197
VD,20191002081000,34222
VD,20191002081500,34036
VD,20191002082000,33850
VD,20191002082500,33774
VD,20191002083000,33641
VD,20191002083500,33594
VD,20191002084000,33357
VD,20191002084500,33202
VD,20191002085000,33042
VD,20191002085500,32902
VD,20191002090000,32690
VD,20191002090500,32793
VD,20191002091000,33027
VD,20191002091500,32969
VD,20191002092000,32808
VD,20191002092500,32634
VD,20191002093000,32423
VD,20191002093500,32242
VD,20191002094000,32201
VD,20191002094500,32125
VD,20191002095000,32023
VD,20191002095500,32122
VD,20191002100000,32472
VD,20191002100500,32934
VD,20191002101000,33207
VD,20191002101500,33192
VD,20191002102000,33044
VD,20191002102500,32880
VD,20191002103000,32865
VD,20191002103500,32750
VD,20191002104000,32007
VD,20191002104500,31934
VD,20191002105000,32585
VD,20191002105500,32419
VD,20191002110000,32329
VD,20191002110500,32182
VD,20191002111000,32268
VD,20191002111500,32125
VD,20191002112000,32121
VD,20191002112500,32051
VD,20191002113000,32009
VD,20191002113500,32038
VD,20191002114000,32026
VD,20191002114500,30505
VD,20191002115000,30586
VD,20191002115500,30551
VD,20191002120000,30460
VD,20191002120500,30564
VD,20191002121000,29476
VD,20191002121500,30360
VD,20191002122000,30315
VD,20191002122500,30177
VD,20191002123000,30181
VD,20191002123500,31447
VD,20191002124000,31527
VD,20191002124500,31534
VD,20191002125000,31557
VD,20191002125500,31532
VD,20191002130000,31363
VD,20191002130500,31142
VD,20191002131000,31214
VD,20191002131500,31204
VD,20191002132000,31304
VD,20191002132500,31415
VD,20191002133000,31559
VD,20191002133500,31766
VD,20191002134000,31920
VD,20191002134500,31967
VD,20191002135000,32067
VD,20191002135500,32002
VD,20191002140000,31886
VD,20191002140500,31693
VD,20191002141000,31548
VD,20191002141500,31511
VD,20191002142000,31543
VD,20191002142500,31446
VD,20191002143000,31562
VD,20191002143500,31870
VD,20191002144000,32245
VD,20191002144500,32448
VD,20191002145000,32716
VD,20191002145500,32922
VD,20191002150000,32662
VD,20191002150500,32743
VD,20191002151000,33177
VD,20191002151500,33335
VD,20191002152000,33504
VD,20191002152500,33752
VD,20191002153000,33871
VD,20191002153500,34015
VD,20191002154000,34305
VD,20191002154500,34636
VD,20191002155000,34970
VD,20191002155500,35197
VD,20191002160000,35467
VD,20191002160500,35795
VD,20191002161000,35850
VD,20191002161500,36033
VD,20191002162000,36317
VD,20191002162500,36566
VD,20191002163000,36699
VD,20191002163500,36860
VD,20191002164000,37128
VD,20191002164500,37251
VD,20191002165000,37376
VD,20191002165500,37437
VD,20191002170000,37555
VD,20191002170500,37786
VD,20191002171000,37984
VD,20191002171500,38184
VD,20191002172000,38316
VD,20191002172500,38432
VD,20191002173000,38547
VD,20191002173500,38765
VD,20191002174000,38882
VD,20191002174500,38974
VD,20191002175000,39164
VD,20191002175500,39312
VD,20191002180000,39612
VD,20191002180500,39708
VD,20191002181000,39578
VD,20191002181500,39696
VD,20191002182000,39614
VD,20191002182500,39461
VD,20191002183000,39363
VD,20191002183500,38281
VD,20191002184000,38216
VD,20191002184500,37987
VD,20191002185000,37876
VD,20191002185500,37676
VD,20191002190000,33479
VD,20191002190500,37342
VD,20191002191000,35855
VD,20191002191500,36897
VD,20191002192000,36930
VD,20191002192500,36642
VD,20191002193000,36398
VD,20191002193500,36366
VD,20191002194000,36291
VD,20191002194500,36064
VD,20191002195000,35904
VD,20191002195500,35672
VD,20191002200000,35425
VD,20191002200500,35353
VD,20191002201000,35017
VD,20191002201500,34654
VD,20191002202000,34378
VD,20191002202500,34088
VD,20191002203000,33900
VD,20191002203500,33559
VD,20191002204000,33242
VD,20191002204500,32951
VD,20191002205000,32660
VD,20191002205500,32269
VD,20191002210000,31938
VD,20191002210500,31589
VD,20191002211000,31143
VD,20191002211500,28114
VD,20191002212000,30360
VD,20191002212500,30123
VD,20191002213000,29733
VD,20191002213500,29433
VD,20191002214000,29046
VD,20191002214500,25977
VD,20191002215000,28509
VD,20191002215500,28125
VD,20191002220000,24555
VD,20191002220500,28020
VD,20191002221000,27280
VD,20191002221500,26886
VD,20191002222000,26433
VD,20191002222500,26261
VD,20191002223000,26085
VD,20191002223500,26013
VD,20191002224000,25814
VD,20191002224500,25665
VD,20191002225000,25468
VD,20191002225500,25291
VD,20191002230000,25288
VD,20191002230500,25253
VD,20191002231000,25248
VD,20191002231500,25250
VD,20191002232000,25274
VD,20191002232500,25176
VD,20191002233000,25057
VD,20191002233500,24963
VD,20191002234000,24807
VD,20191002234500,24647
VD,20191002235000,24486
VD,20191002235500,24376
VD,20191003000000,24235
VD,20191003000500,24306
VD,20191003001000,24355
VD,20191003001500,24633
VD,20191003002000,24646
VD,20191003002500,24596
VD,20191003003000,24573
VD,20191003003500,24659
VD,20191003004000,24716
VD,20191003004500,24752
VD,20191003005000,24734
VD,20191003005500,24631
VD,20191003010000,24547
VD,20191003010500,24573
VD,20191003011000,24517
VD,20191003011500,24479
VD,20191003012000,24533
VD,20191003012500,24475
VD,20191003013000,24422
VD,20191003013500,24434
VD,20191003014000,24400
VD,20191003014500,24302
VD,20191003015000,24234
